Element 1,Element 2,Element 3,Elements Required,Damage Type,Buff/Debuff,Type,Node Type,Ability Name,I,II,III
Cryo,Forge,Gamma,3,,,Passive,Triple,,,,
Cryo,Forge,Gamma,3,,,Active,Triple,,,,
Cryo,Forge,Plasma,3,,,Passive,Triple,,,,
Cryo,Forge,Plasma,3,Cryo+Forge+Plasma,"Burn+, Stagger+",Active,Triple,Steam Blast,"launches a blue-red marble up to dist2, which blows up in steam to a radius3, giving [burn] to all enemies in the blast, and making them [stagger]","all enemies on the screen get [burn+] and [stagger+], the marble launches from the ship to the center of the screen, everything on screen takes a little damage of cryo+forge+plasma",
Cryo,Forge,Void,3,Cryo+Forge+Void,Gravity,Passive,Triple,Wreckage Field,Every baddie that dies leaves a piece of debris that persists 6 seconds. Debris blocks enemy projectiles and deals cryo+forge+void damage to baddies that collide with it.,more damage; each debris piece has a close radius [gravity],
Cryo,Forge,Void,3,,,Active,Triple,,,,
Cryo,Forge,Volt,3,,,Passive,Triple,,,,
Cryo,Forge,Volt,3,,,Active,Triple,,,,
Cryo,Gamma,Plasma,3,,,Passive,Triple,,,,
Cryo,Gamma,Plasma,3,,,Active,Triple,,,,
Cryo,Gamma,Void,3,,,Passive,Triple,,,,
Cryo,Gamma,Void,3,,,Active,Triple,,,,
Cryo,Gamma,Volt,3,,,Passive,Triple,,,,
Cryo,Gamma,Volt,3,,,Active,Triple,,,,
Cryo,Plasma,Void,3,,,Passive,Triple,,,,
Cryo,Plasma,Void,3,,,Active,Triple,,,,
Cryo,Plasma,Volt,3,,,Passive,Triple,,,,
Cryo,Plasma,Volt,3,,,Active,Triple,,,,
Cryo,Void,Volt,3,,,Passive,Triple,,,,
Cryo,Void,Volt,3,,,Active,Triple,,,,
Ether,Forge,Gamma,3,Ether,,Passive,Triple,hologram,"you have a hologram of yourself, that hovers in the first empty ally slot. it deals .15 of your damage as ether, does not use abilities, and goes away if it gets hit. comes back automatically after cooldown period. it is not capably of being affected by status ailments.

if your hologram is alive, and the next hit would kill you, then the hologram takes the hit. hologram has 5% of your hp","hologram deals .25 damage, has 10% of your hp; it also activates abilities when you do; activated abilities from hologram are also .25 damage, deal ether damage instead of the original type, and do not apply any effects or status ailments - they are damage only",
Ether,Forge,Gamma,3,,,Active,Triple,,,,
Ether,Forge,Plasma,3,,,Passive,Triple,,,,
Ether,Forge,Plasma,3,,,Active,Triple,,,,
Ether,Forge,Void,3,,,Passive,Triple,,,,
Ether,Forge,Void,3,Void,MaxHP_Loss+,Active,Triple,Deconstruction,"Target the nearest baddie. Its structure is unmade: shields are stripped, it receives [MaxHP_Loss] for 15 seconds, and it takes void damage that ignores all type weaknesses.",maxhp_loss+; removed max HP is dealt as void damage to all baddies in radius_1,
Ether,Forge,Volt,3,,,Passive,Triple,,,,
Ether,Forge,Volt,3,,,Active,Triple,,,,
Ether,Gamma,Plasma,3,Gamma+Plasma,Evasion++,Passive,Triple,Celestialize,"After 10 seconds without being hit, you ignite: gain [evasion+], and your basic attacks become piercing beams dealing bonus gamma+plasma damage at distance_2 or beyond. Lost on being hit, re-earned after 10 clean seconds.","Evasion++, more damage at distance",
Ether,Gamma,Plasma,3,,,Active,Triple,,,,
Ether,Gamma,Void,3,,,Passive,Triple,,,,
Ether,Gamma,Void,3,,,Active,Triple,Soul Drain,"all baddies in radius 1 have their lifeforce pulled, suffering maxhp_loss, while you get maxhp_gain; effects last 10 seconds","all baddies in radius 1 have their lifeforce pulled, suffering maxhp_down+, while you get maxhp_gain+; effects last 20 seconds",
Ether,Gamma,Volt,3,Ether,"Stasis, Damage_Immune",Passive,Triple,Astral Projection,"You gain [stasis] + [damage immune] and a controllable ghost of your ship flies free for 4 seconds, dealing .4 of your damage as ether and ignoring shields. On expiry the ghost returns to you.","lasts 6 seconds, all damage you deal is .6, on expiration your ship zips to your current position, instead of the projection zipping back to the main ship position",
Ether,Gamma,Volt,3,,,Active,Triple,,,,
Ether,Plasma,Void,3,Ether+Plasma+Void,Gravity,Passive,Triple,Soul Pyre,Any baddie that has burn or burn+ also has a field of [gravity] around it at a near radius; the target baddie does not get this gravity. Baddies that die with burn or burn+ leave a stationary flame in a small area for 4 seconds that deals ether+plasma+void damage to anything entering the area; damage ticks every .2 seconds that baddie(s) in contact with the area,more damage; increase to radius_1; the burning ground will gravitate (move) steadily to the nearest baddie within a radius_2,
Ether,Plasma,Void,3,,,Active,Triple,,,,
Ether,Plasma,Volt,3,,,Passive,Triple,,,,
Ether,Plasma,Volt,3,Plasma+Volt,Shock,Active,Triple,Ball Lightning,"You release a slow orb that drifts forward and passes through everything (no collision), dealing plasma+volt damage per tick to anything overlapping it and applying [shock], move out to a distance_3","two orbs launch and +-30 degrees of the ships bow, more damage",
Ether,Void,Volt,3,,,Passive,Triple,,,,
Ether,Void,Volt,3,,,Active,Triple,,,,
Forge,Gamma,Plasma,3,,,Passive,Triple,,,,
Forge,Gamma,Plasma,3,,,Active,Triple,,,,
Forge,Gamma,Void,3,,,Passive,Triple,,,,
Forge,Gamma,Void,3,Gamma+Void,,Active,Triple,Raise Dead,"The 2 most recent baddies to die within radius_2 reanimate as irradiated husks in your extra ship slots for 8 seconds. They deal .2 of your damage as gamma+void, ignore your abilities' effects","3 husks, 12 seconds, .3 damage",
Forge,Gamma,Volt,3,Volt,,Passive,Triple,Grounded,"Damage you take is reduced by n if it came from distance 3, away, n-y if from distance 2.","the damage reduction is higher, and a volt of lightning jumps from you when you are hit and hits the nearest baddie for the damage that was reduced as volt type",
Forge,Gamma,Volt,3,,,Active,Triple,,,,
Forge,Plasma,Void,3,,,Passive,Triple,,,,
Forge,Plasma,Void,3,,,Active,Triple,,,,
Forge,Plasma,Volt,3,Forge+Plasma+Volt,,Passive,Triple,Overflowing Power,"damage you deal above what was needed to kill a baddie is 'banked'. once the bank reaches n amount, a homing missile fires at the nearest baddie and deal it the banked damage as forge+plasma+volt type","greater banked amount, over damage is stored with a +n amount each time you kill (must bank at least 1 damage to get the +n amount)",
Forge,Plasma,Volt,3,,,Active,Triple,,,,
Forge,Void,Volt,3,,,Passive,Triple,,,,
Forge,Void,Volt,3,,,Active,Triple,,,,
Gamma,Plasma,Void,3,,,Passive,Triple,,,,
Gamma,Plasma,Void,3,,,Active,Triple,,,,
Gamma,Plasma,Volt,3,Gamma+Plasma+Volt,,Passive,Triple,Overcharge,"When you crit, you store a charge. At 10 charges, a piercing beam from the bow to a distance_3 is released that lasts 1.5 seconds, dealing gamma+plasma+volt damage to everything in its line. all charges are consumed.","7 charges to trigger., more damage",
Gamma,Plasma,Volt,3,,,Active,Triple,,,,
Gamma,Void,Volt,3,,,Passive,Triple,Dark Current,"[shock] currents from baddies can jump through you. when they do, they heal you instead of damage you, and get one extra hop from you, dealing damage to another baddie. you can only get jumped to once per shock proc","more heal, shocks from you will arc to 3 baddies in a radius_2 of you",
Gamma,Void,Volt,3,,,Active,Triple,,,,
Plasma,Void,Volt,3,Plasma+Volt,Gravity,Passive,Triple,Torn Space,"a tear in space follows you as you fly around, in a 3 second fading tail. baddies that touch it take plasma+volt damage every tick","4 second tail, baddies close to the fissure get [gravity] into it",
Plasma,Void,Volt,3,Plasma+Volt,Gravity,Active,Triple,Sundered Sky,"Three fissures tear open across the screen at random angles for 3 seconds, dealing plasma+volt damage every tick (.2 seconds) to anything touching them.","five fissures, more damage per tick, baddies close to a fissure gets [gravity] to it",
